epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.4575,1.62707,3.97534,1.30822,0.00657,0.41152,0.05635,0.02402,1.45821,3.62091,1.08932,0.00037154,0.00037154,0.00037154
2,27.2721,1.43662,2.65962,1.16138,0.01159,0.46914,0.07959,0.0379,1.46845,3.46694,1.19843,0.00071988,0.00071988,0.00071988
3,37.7481,1.40557,2.27804,1.17003,0.60957,0.06584,0.18486,0.10775,1.4579,3.32286,1.23204,0.00103002,0.00103002,0.00103002
4,48.2304,1.41242,2.22401,1.16596,0.592,0.33333,0.42846,0.26777,1.35971,2.61202,1.24536,0.00121679,0.00121679,0.00121679
5,58.4902,1.44089,2.0995,1.17374,0.59393,0.41564,0.449,0.26453,1.52411,2.19767,1.30542,0.00114606,0.00114606,0.00114606
6,69.0321,1.38415,1.99866,1.16011,0.53941,0.3711,0.39638,0.22785,1.54096,2.10483,1.29277,0.00107532,0.00107532,0.00107532
7,79.4742,1.36522,1.90543,1.17275,0.58335,0.35391,0.42262,0.25422,1.49081,2.11285,1.3247,0.00100459,0.00100459,0.00100459
8,89.978,1.34621,1.83237,1.16709,0.42576,0.3692,0.34155,0.22821,1.30778,2.17051,1.25923,0.000933851,0.000933851,0.000933851
9,100.196,1.28529,1.74262,1.13153,0.56486,0.43621,0.48331,0.3121,1.27433,1.75562,1.18616,0.000863116,0.000863116,0.000863116
10,110.441,1.29153,1.65616,1.11913,0.53942,0.46091,0.45989,0.29388,1.34138,1.79273,1.19271,0.00079238,0.00079238,0.00079238
11,163.098,1.21979,1.71282,1.10689,0.47828,0.51029,0.47615,0.30813,1.26618,1.71838,1.17589,0.000721645,0.000721645,0.000721645
12,173.301,1.16302,1.56392,1.07945,0.55455,0.44856,0.48992,0.32071,1.26248,1.84249,1.14101,0.000650909,0.000650909,0.000650909
13,183.431,1.17291,1.48237,1.09154,0.51558,0.50206,0.47385,0.31825,1.24813,1.61917,1.14683,0.000580174,0.000580174,0.000580174
14,193.509,1.14319,1.3809,1.06364,0.48424,0.53909,0.49469,0.30857,1.35508,1.60318,1.17118,0.000509438,0.000509438,0.000509438
15,203.614,1.11613,1.33238,1.04927,0.52507,0.54321,0.49728,0.3135,1.29248,1.60096,1.13387,0.000438703,0.000438703,0.000438703
16,213.746,1.03434,1.2633,1.04127,0.60543,0.44832,0.49402,0.31254,1.32815,1.62801,1.16247,0.000367967,0.000367967,0.000367967
17,223.806,1.06662,1.27168,1.05117,0.5675,0.51029,0.54484,0.34516,1.28551,1.54975,1.13383,0.000297232,0.000297232,0.000297232
18,233.9,1.03738,1.19677,1.02854,0.61456,0.48971,0.53884,0.34624,1.28808,1.61422,1.13886,0.000226497,0.000226497,0.000226497
19,244.312,1.03392,1.18507,1.02027,0.55995,0.55556,0.55649,0.35653,1.25317,1.51626,1.12977,0.000155761,0.000155761,0.000155761
20,254.495,1.01623,1.12916,0.99734,0.59358,0.53498,0.54993,0.3588,1.21449,1.48665,1.11639,8.50255e-05,8.50255e-05,8.50255e-05
